time,dry-bulb temperature (°C),relative humidity (%),atmospheric pressure (hPa),wind speed (m/s),wind direction,ground temperature (°C),horizontal total solar radiation intensity (W/m2),horizontal diffuse solar radiation intensity (W/m2)
2021-05-31 00:00:00,18.3,59,999.6,0.5,217,15.5,0.0,0.0
2021-05-31 01:00:00,16.2,64,999.4,0.0,PPC,13.9,0.0,0.0
2021-05-31 02:00:00,16.0,72,999.4,0.2,PPC,13.4,0.0,0.0
2021-05-31 03:00:00,15.7,75,999.0,0.6,179,12.6,0.0,0.0
2021-05-31 04:00:00,13.4,86,999.0,1.1,126,11.5,0.0,0.0
2021-05-31 05:00:00,13.0,86,998.3,1.2,60,11.6,15.0,10.0
2021-05-31 06:00:00,13.9,86,999.1,0.0,PPC,16.9,134.0,108.0
2021-05-31 07:00:00,16.1,79,1000.1,1.8,208,18.1,133.0,130.0
2021-05-31 08:00:00,16.6,75,1000.9,1.3,283,18.0,25.0,21.0
2021-05-31 09:00:00,16.3,82,999.9,2.0,3,18.3,66.0,62.0
2021-05-31 10:00:00,16.0,86,999.3,0.2,PPC,18.4,296.0,297.0
2021-05-31 11:00:00,17.6,71,999.2,0.9,256,25.9,165.0,163.0
2021-05-31 12:00:00,19.0,63,999.1,0.3,276,28.7,353.0,348.0
2021-05-31 13:00:00,18.9,60,998.5,0.3,286,24.3,376.0,382.0
2021-05-31 14:00:00,19.1,60,999.0,1.6,204,24.8,79.0,80.0
2021-05-31 15:00:00,18.2,72,999.2,0.0,PPC,19.7,17.0,14.0
2021-05-31 16:00:00,16.7,89,999.0,1.0,82,18.5,35.0,32.0
2021-05-31 17:00:00,15.8,87,998.2,1.4,40,17.4,26.0,22.0
2021-05-31 18:00:00,15.4,81,999.4,2.0,316,17.7,69.0,65.0
2021-05-31 19:00:00,14.9,89,999.9,0.8,111,16.4,9.0,6.0
2021-05-31 20:00:00,14.9,83,999.1,1.2,341,14.7,0.0,0.0
2021-05-31 21:00:00,13.6,92,1000.1,0.5,186,13.0,0.0,0.0
2021-05-31 22:00:00,13.0,95,1000.6,0.7,129,12.5,0.0,0.0
2021-05-31 23:00:00,13.0,95,1000.2,1.3,51,12.1,0.0,0.0
2021-06-01 00:00:00,12.5,95,999.9,0.8,54,11.2,0.0,0.0
2021-06-01 01:00:00,11.9,96,1000.5,1.1,218,10.3,0.0,0.0
2021-06-01 02:00:00,11.8,97,1000.3,1.1,88,9.9,0.0,0.0
2021-06-01 03:00:00,11.8,97,1000.4,2.0,42,9.5,0.0,0.0
2021-06-01 04:00:00,11.7,96,1000.7,0.8,103,8.6,0.0,0.0
2021-06-01 05:00:00,10.8,96,1001.2,0.4,262,8.2,20.0,12.0
2021-06-01 06:00:00,11.8,97,1002.3,0.0,PPC,12.7,163.0,87.0
2021-06-01 07:00:00,15.4,84,1002.9,0.3,135,22.3,344.0,145.0
2021-06-01 08:00:00,17.3,74,1003.3,0.3,156,28.4,559.0,161.0
2021-06-01 09:00:00,19.7,64,1003.2,1.3,198,34.2,720.0,190.0
2021-06-01 10:00:00,21.8,61,1002.7,0.3,288,40.7,868.0,157.0
2021-06-01 11:00:00,23.8,43,1001.6,1.3,12,46.6,932.0,141.0
2021-06-01 12:00:00,25.5,34,1000.8,2.4,249,49.9,940.0,146.0
2021-06-01 13:00:00,25.8,41,1000.3,2.6,277,52.4,913.0,150.0
2021-06-01 14:00:00,27.3,30,999.7,1.7,257,51.3,818.0,162.0
2021-06-01 15:00:00,28.0,26,998.6,2.1,243,50.1,688.0,160.0
2021-06-01 16:00:00,27.6,27,997.2,2.6,204,41.5,573.0,254.0
2021-06-01 17:00:00,25.9,26,997.8,1.0,220,29.3,128.0,130.0
2021-06-01 18:00:00,25.0,30,999.5,1.8,226,25.5,16.0,15.0
2021-06-01 19:00:00,23.0,50,998.6,1.3,122,20.8,0.0,0.0
2021-06-01 20:00:00,22.4,42,998.1,0.5,244,18.4,0.0,0.0
2021-06-01 21:00:00,22.1,49,998.5,1.7,140,17.2,0.0,0.0
2021-06-01 22:00:00,21.1,54,998.8,1.7,212,16.4,0.0,0.0
2021-06-01 23:00:00,20.1,61,998.7,2.2,203,16.1,0.0,0.0
2021-06-02 00:00:00,20.0,60,997.8,1.4,172,15.9,0.0,0.0
2021-06-02 01:00:00,19.7,60,997.9,1.1,229,16.3,0.0,0.0
2021-06-02 02:00:00,17.2,76,997.5,0.0,PPC,14.2,0.0,0.0
2021-06-02 03:00:00,15.3,85,997.2,0.4,17,13.4,0.0,0.0
2021-06-02 04:00:00,14.7,89,997.0,1.1,135,13.5,0.0,0.0
2021-06-02 05:00:00,15.5,88,997.0,0.2,PPC,15.9,0.0,0.0
2021-06-02 06:00:00,16.7,84,996.9,0.0,PPC,17.3,49.0,47.0
2021-06-02 07:00:00,17.8,75,996.7,0.0,PPC,18.1,48.0,46.0
2021-06-02 08:00:00,18.5,74,996.8,0.0,PPC,20.4,88.0,87.0
2021-06-02 09:00:00,17.9,88,996.9,0.3,309,18.1,120.0,119.0
2021-06-02 10:00:00,18.5,88,996.3,0.8,283,21.1,51.0,49.0
2021-06-02 11:00:00,19.7,83,996.2,0.2,PPC,24.1,44.0,42.0
2021-06-02 12:00:00,20.9,75,996.2,0.9,62,29.2,344.0,348.0
2021-06-02 13:00:00,22.7,72,995.8,0.8,13,32.9,404.0,397.0
2021-06-02 14:00:00,24.5,63,995.8,2.5,37,34.6,317.0,313.0
2021-06-02 15:00:00,26.0,46,995.5,1.7,59,38.4,344.0,312.0
2021-06-02 16:00:00,27.4,31,995.2,1.1,250,39.5,444.0,333.0
2021-06-02 17:00:00,27.8,24,995.1,0.7,308,37.0,258.0,218.0
2021-06-02 18:00:00,26.6,16,995.3,2.7,340,25.2,249.0,166.0
2021-06-02 19:00:00,25.1,15,995.8,2.4,333,20.5,35.0,31.0
2021-06-02 20:00:00,23.2,19,996.9,0.9,7,17.0,0.0,0.0
2021-06-02 21:00:00,19.9,27,997.7,1.3,43,14.4,0.0,0.0
2021-06-02 22:00:00,16.1,46,998.0,0.6,110,12.1,0.0,0.0
